reward,training_time,waiting_time,avg_queue_length
-2101,582.419568,28260,7.85
-1804,588.234394,24831,6.8975
-1844,594.191146,20664,5.74
-1823,599.965729,21444,5.956666666666667
-2125,605.87489,21112,5.864444444444445
-2122,611.884295,24764,6.878888888888889
-1973,617.785898,24914,6.920555555555556
-1969,623.725807,22644,6.29
-2008,629.650364,23025,6.395833333333333
-2043,635.573802,23635,6.565277777777778
-1907,641.435319,23648,6.568888888888889
-2215,647.277447,22384,6.217777777777778
-2072,653.166477,25894,7.192777777777778
-1893,659.118766,24376,6.771111111111111
-1869,664.95266,22149,6.1525
-2182,670.893223,21845,6.0680555555555555
-1933,676.839811,25579,7.105277777777777
-2047,682.723479,22382,6.217222222222222
-2153,688.673066,23982,6.661666666666667
-2172,694.586257,25270,7.019444444444445
-1977,700.446939,25750,7.152777777777778
-1881,706.314224,22700,6.305555555555555
-1780,712.100112,21741,6.039166666666667
-1986,718.025972,20396,5.665555555555556
-1915,724.026515,23148,6.43
-1938,729.834226,22359,6.210833333333333
-1825,735.629512,22340,6.205555555555556
-1778,741.49373,21177,5.8825
-1884,747.470927,20713,5.753611111111111
-2062,753.496054,21832,6.064444444444445
-2074,759.33993,24149,6.708055555555555
-2162,765.255785,24257,6.7380555555555555
-1811,771.154673,25408,7.057777777777778
-2056,777.133044,21051,5.8475
-1926,783.045391,23949,6.6525
-1922,788.928396,22080,6.133333333333334
-1752,794.714372,22274,6.187222222222222
-2097,800.711208,20539,5.705277777777778
-1810,806.537468,24535,6.815277777777778
-1830,812.411096,20547,5.7075
-1849,818.319012,21381,5.939166666666667
-1829,824.224522,21391,5.941944444444444
-1833,830.05297,21546,5.985
-1828,835.977014,20969,5.824722222222222
-1812,841.954444,20994,5.831666666666667
-1831,847.700804,20924,5.812222222222222
-1939,853.652252,21329,5.924722222222222
-1697,859.446723,22603,6.278611111111111
-1670,865.296822,19565,5.434722222222222
-1804,871.310813,19027,5.285277777777778
-1902,877.162092,20787,5.774166666666667
-1804,883.030346,22265,6.184722222222222
-1644,888.791886,21040,5.844444444444444
-1899,894.700872,18947,5.263055555555556
-1782,900.609523,21848,6.068888888888889
-1787,906.445922,20830,5.786111111111111
-1779,912.279026,20545,5.706944444444445
-1637,918.11195,20661,5.739166666666667
-1718,923.862151,18790,5.219444444444444
-1895,929.827293,19858,5.516111111111111
-1687,935.66043,22080,6.133333333333334
-1796,941.508651,19260,5.35
-1628,947.31516,20762,5.767222222222222
-1810,953.174064,18819,5.2275
-1816,959.04903,20895,5.804166666666666
-1848,964.990105,20795,5.776388888888889
-1786,970.824183,21554,5.987222222222222
-1770,976.666561,20744,5.762222222222222
-1723,982.483123,20389,5.663611111111111
-1747,988.307128,19701,5.4725
-1787,994.239652,20040,5.566666666666666
-1773,1000.059464,20378,5.660555555555556
-1657,1005.807986,20748,5.763333333333334
-1577,1011.646262,18897,5.2491666666666665
-1766,1017.479483,17984,4.995555555555556
-1671,1023.29297,20257,5.626944444444445
-1587,1029.106201,19359,5.3775
-1698,1034.896961,18239,5.066388888888889
-1725,1040.737301,19294,5.359444444444445
-1713,1046.532787,19649,5.458055555555555
-1651,1052.397702,19617,5.449166666666667
-1884,1058.324182,18985,5.273611111111111
-1698,1064.110195,21977,6.104722222222223
-1705,1069.86816,19507,5.418611111111111
-1767,1075.939609,19655,5.459722222222222
-1684,1081.672981,20440,5.677777777777778
-1626,1087.464521,19258,5.349444444444444
-1745,1093.365118,18355,5.098611111111111
-1602,1099.13997,20169,5.6025
-1608,1105.006539,18322,5.089444444444444
-1530,1110.754497,18534,5.148333333333333
-1667,1116.601794,17489,4.858055555555556
-1705,1122.544643,19278,5.355
-1644,1128.338557,19550,5.430555555555555
-1700,1134.097238,18914,5.253888888888889
-1400,1140.003282,19563,5.434166666666667
-1654,1145.809132,15768,4.38
-1698,1151.659588,18868,5.2411111111111115
-1513,1157.522972,19503,5.4175
-1575,1163.248233,17058,4.738333333333333
-1495,1169.061804,18155,5.043055555555555
-1643,1174.910314,17064,4.74
-1635,1180.686813,18771,5.214166666666666
-1581,1186.529966,18790,5.219444444444444
-1754,1192.333608,18007,5.001944444444445
-1624,1198.224221,19777,5.493611111111111
-1646,1204.062236,18541,5.150277777777778
-1798,1210.063743,19014,5.281666666666666
-1560,1215.944693,21098,5.860555555555556
-1535,1221.732986,17935,4.981944444444444
-1607,1227.519859,17402,4.833888888888889
-1512,1233.336209,18555,5.154166666666667
-1788,1239.185271,17095,4.748611111111111
-1590,1244.950452,20390,5.663888888888889
-1688,1250.818371,18150,5.041666666666667
-1714,1256.702291,19556,5.432222222222222
-1531,1262.427762,19849,5.5136111111111115
-1486,1268.336211,17264,4.795555555555556
-1605,1274.071094,16853,4.681388888888889
-1644,1279.872211,18316,5.087777777777778
-1761,1285.805044,18884,5.245555555555556
-1713,1291.548825,20578,5.716111111111111
-1601,1297.414214,19823,5.506388888888889
-1596,1303.132225,18386,5.107222222222222
-1546,1308.848745,18204,5.056666666666667
-1545,1314.658131,17740,4.927777777777778
-1536,1320.4286,17981,4.994722222222222
-1552,1326.226404,17434,4.842777777777778
-1522,1332.081256,17792,4.942222222222222
-1590,1337.82064,17140,4.761111111111111
-1452,1343.506612,18192,5.053333333333334
-1469,1349.264036,16348,4.541111111111111
-1597,1355.155355,16889,4.691388888888889
-1646,1361.046474,18106,5.029444444444445
-1540,1366.78315,18808,5.224444444444444
-1700,1372.55655,17565,4.879166666666666
-1714,1378.500677,19700,5.472222222222222
-1515,1384.246736,19714,5.476111111111111
-1792,1390.139326,17217,4.7825
-1669,1396.044867,20755,5.7652777777777775
-1644,1401.89179,19134,5.315
-1437,1407.61313,18615,5.170833333333333
-1570,1413.458217,16086,4.468333333333334
-1586,1419.293547,17939,4.983055555555556
