,reward
0,-4703
1,-3197
2,-3387
3,-3178
4,-2887
5,-3629
6,-3143
7,-3192
8,-3907
9,-3331
10,-3412
11,-3067
12,-3802
13,-3449
14,-3062
15,-3939
16,-3313
17,-2848
18,-4099
19,-3224
20,-4680
21,-3401
22,-3555
23,-3570
24,-3307
25,-3903
26,-2662
27,-3380
28,-4239
29,-2827
30,-4221
31,-2967
32,-3534
33,-2889
34,-3415
35,-2964
36,-3318
37,-3476
38,-3726
39,-3815
40,-3300
41,-3507
42,-3274
43,-2660
44,-2927
45,-3242
46,-2756
47,-3433
48,-3195
49,-3269
50,-2996
51,-3601
52,-3664
53,-3327
54,-4046
55,-2980
56,-3674
57,-2683
58,-3284
59,-3011
60,-3694
61,-2760
62,-4233
63,-2935
64,-3596
65,-3204
66,-3678
67,-2948
68,-4083
69,-2862
70,-2935
71,-3251
72,-2755
73,-3635
74,-2694
75,-2574
76,-3404
77,-3200
78,-2888
79,-2887
80,-2532
81,-2879
82,-3252
83,-3023
84,-3530
85,-2589
86,-2717
87,-3398
88,-2965
89,-3232
90,-2635
91,-3347
92,-2752
93,-3749
94,-2817
95,-3877
96,-3105
97,-3102
98,-4829
99,-2749
100,-2729
101,-2928
102,-3705
103,-2439
104,-3968
105,-2885
106,-3019
107,-3045
108,-3588
109,-3021
110,-2627
111,-3243
112,-3766
113,-2635
114,-3042
115,-3201
116,-2865
117,-3137
118,-3367
119,-2692
120,-2559
121,-3144
122,-3091
123,-2839
124,-2794
125,-3161
126,-2957
127,-2755
128,-3008
129,-2774
130,-2835
131,-3206
132,-2651
133,-2721
134,-3292
135,-3030
136,-2518
137,-2874
138,-2520
139,-2307
140,-3479
141,-3470
142,-2611
143,-2889
144,-3329
145,-2431
146,-3166
147,-2838
148,-2911
149,-2744
150,-3105
151,-2840
152,-2807
153,-2276
154,-3220
155,-2969
156,-2848
157,-3181
158,-3243
159,-2748
160,-2186
161,-2988
162,-3357
163,-2909
164,-2569
165,-2562
166,-2861
167,-2941
168,-2889
169,-2880
170,-2653
171,-2643
172,-2742
173,-2864
174,-2643
175,-3598
176,-2720
177,-2691
178,-3052
179,-2705
180,-2597
181,-2421
182,-2382
183,-3285
184,-2787
185,-2516
186,-3005
187,-2457
188,-2704
189,-3097
190,-2626
191,-2599
192,-2896
193,-3366
194,-2897
195,-2863
196,-2973
197,-2662
198,-2747
199,-3091
200,-2568
201,-3019
202,-3090
203,-2639
204,-3298
205,-3683
206,-2674
207,-2712
208,-2504
209,-2751
210,-3440
211,-2449
212,-3075
213,-2705
214,-2597
215,-2580
216,-2841
217,-2580
218,-2793
219,-2746
220,-3278
221,-2566
222,-3013
223,-2850
224,-2654
225,-2589
226,-2450
227,-2555
228,-2563
229,-2848
230,-3094
231,-3063
232,-2702
233,-2677
234,-2695
235,-3706
236,-2799
237,-2429
238,-2752
239,-2695
240,-2837
241,-2437
242,-2475
243,-2881
244,-3244
245,-2399
246,-3197
247,-2572
248,-2204
249,-2722
250,-2785
251,-3009
252,-2623
253,-2531
254,-3076
255,-2390
256,-2522
257,-2441
258,-2925
259,-2888
260,-3353
261,-3250
262,-3197
263,-2666
264,-2520
265,-2289
266,-2742
267,-2393
268,-2606
269,-2533
270,-2468
271,-2576
272,-2866
273,-2205
274,-2448
275,-2698
276,-2679
277,-2330
278,-2518
279,-2299
280,-2958
281,-3064
282,-3039
283,-3409
284,-2276
285,-2732
286,-3033
287,-2917
288,-2475
289,-2481
290,-2771
291,-3310
292,-2410
293,-2401
294,-2779
295,-2828
296,-2565
297,-2646
298,-2706
299,-2861
300,-2422
301,-2177
302,-2446
303,-2423
304,-2608
305,-2661
306,-2642
307,-2505
308,-2393
309,-2617
310,-2186
311,-2981
312,-2732
313,-2654
314,-2424
315,-3089
316,-3067
317,-3052
318,-2735
319,-2282
320,-2755
321,-2612
322,-3116
323,-2379
324,-2360
325,-3792
326,-2582
327,-2608
328,-2712
329,-2282
330,-2520
331,-2691
332,-3184
333,-2284
334,-2500
335,-2969
336,-2715
337,-2680
338,-2626
339,-2325
340,-2477
341,-3176
342,-2861
343,-2781
344,-2633
345,-2576
346,-3021
347,-2688
348,-2732
349,-2598
350,-2711
351,-3409
352,-2907
353,-2257
354,-2379
355,-2503
356,-2438
357,-2362
358,-2774
359,-3112
360,-2583
361,-2433
362,-2880
363,-2204
364,-2510
365,-2895
366,-2848
367,-3135
368,-2487
369,-2502
370,-2644
371,-3332
372,-3408
373,-2759
374,-2701
375,-2687
376,-2298
377,-2876
378,-2854
379,-2859
380,-2656
381,-2398
382,-2408
383,-2257
384,-2820
385,-2836
386,-2555
387,-2362
388,-3019
389,-2599
390,-2494
391,-2872
392,-2822
393,-2980
394,-3011
395,-2729
396,-2589
397,-2375
398,-2566
399,-2496
400,-2487
401,-2361
402,-2298
403,-3130
404,-2524
405,-2652
406,-2416
407,-2764
408,-2482
409,-2489
410,-2771
411,-3066
412,-2637
413,-2559
414,-2768
415,-2547
416,-2261
417,-2642
418,-2554
419,-2735
420,-2482
421,-2188
422,-2635
423,-2696
424,-2729
425,-2398
426,-1995
427,-2610
428,-2346
429,-2388
430,-2254
431,-2506
432,-2289
433,-2683
434,-2657
435,-2382
436,-2898
437,-2505
438,-2444
439,-3253
440,-2586
441,-1942
442,-2312
443,-2546
444,-2382
445,-2638
446,-2408
447,-2272
448,-2308
449,-2599
450,-2577
451,-2978
452,-2233
453,-2365
454,-2515
455,-2826
456,-2612
457,-2334
458,-2584
459,-3203
460,-2323
461,-2317
462,-2469
463,-2294
464,-2480
465,-2367
466,-2353
467,-2353
468,-2601
469,-2635
470,-2527
471,-2506
472,-2120
473,-2813
474,-2922
475,-2111
476,-2353
477,-2416
478,-2663
479,-2590
480,-2646
481,-2364
482,-3162
483,-2670
484,-2894
485,-2320
486,-2830
487,-2520
488,-2111
489,-2693
490,-2720
491,-2604
492,-2553
493,-2369
494,-2409
495,-2392
496,-2345
497,-2644
498,-2305
499,-2249
500,-2349
501,-2359
502,-2563
503,-2291
504,-2689
505,-3075
506,-2367
507,-2769
508,-2511
509,-2506
510,-2526
511,-2618
512,-2747
513,-2192
514,-2378
515,-2599
516,-2659
517,-2565
518,-2582
519,-2352
520,-2494
521,-2548
522,-2214
523,-2722
524,-2157
525,-2093
526,-2666
527,-2353
528,-3167
529,-2451
530,-2448
531,-2347
532,-2257
533,-3027
534,-2430
535,-2194
536,-2247
537,-2895
538,-2556
539,-2420
540,-2681
541,-2237
542,-2636
543,-2840
544,-2407
545,-2287
