,reward
0,-2730
1,-2814
2,-4026
3,-2597
4,-2496
5,-2694
6,-2138
7,-2316
8,-3018
9,-2777
10,-2522
11,-2222
12,-2380
13,-3149
14,-2518
15,-2344
16,-2536
17,-2535
18,-3194
19,-2615
20,-2321
21,-2932
22,-2184
23,-2880
24,-3076
25,-2269
26,-2744
27,-2390
28,-1995
29,-2284
30,-2455
31,-2453
32,-2285
33,-2982
34,-2558
35,-2460
36,-2172
37,-2277
38,-2487
39,-2548
40,-2406
41,-2122
42,-2169
43,-2187
44,-3584
45,-2356
46,-2279
47,-2560
48,-2301
49,-2372
50,-3486
51,-2262
52,-2576
53,-2294
54,-2439
55,-2612
56,-2657
57,-1896
58,-2830
59,-2263
60,-2226
61,-2360
62,-2342
63,-2459
64,-2309
65,-2745
66,-2974
67,-2086
68,-2351
69,-2179
70,-2732
71,-2369
72,-2659
73,-2298
74,-2861
75,-3149
76,-2210
77,-2117
78,-2238
79,-2490
80,-2959
81,-2586
82,-2119
83,-2182
84,-2218
85,-2348
86,-2301
87,-2302
88,-2407
89,-2376
90,-2137
91,-2221
92,-2271
93,-2564
94,-2404
95,-2583
96,-2143
97,-2310
98,-2367
99,-2258
100,-2083
101,-2445
102,-2112
103,-2297
104,-1965
105,-2507
106,-2239
107,-2428
108,-1981
109,-2607
110,-2253
111,-1873
112,-2072
113,-2282
114,-2255
115,-2282
116,-2766
117,-2269
118,-2339
119,-2044
120,-2107
121,-2422
122,-2177
123,-2230
124,-2101
125,-2176
126,-1958
127,-2007
128,-2154
129,-1972
130,-1968
131,-2131
132,-1980
133,-2065
134,-1697
135,-1874
136,-2200
137,-2252
138,-2239
139,-2170
140,-2103
141,-2185
142,-2152
143,-1953
144,-2153
145,-2035
146,-2152
147,-2468
148,-2066
149,-2604
150,-2392
151,-2227
152,-1932
153,-2205
154,-2113
155,-2008
156,-2449
157,-2214
158,-1861
159,-2507
160,-2296
161,-2117
162,-2184
163,-1995
164,-1781
165,-1749
166,-1810
167,-1944
168,-1836
169,-2058
170,-2220
171,-2011
172,-2037
173,-2191
174,-2039
175,-2562
176,-2297
177,-1918
178,-2036
179,-1984
180,-1715
181,-2376
182,-2721
183,-2471
184,-2039
185,-1808
186,-1734
187,-2235
188,-1920
189,-1935
190,-1927
191,-1947
192,-1677
193,-2006
194,-2161
195,-2219
196,-1929
197,-1885
198,-1949
199,-2057
200,-2099
