,reward
0,-4360
1,-4117
2,-4105
3,-4114
4,-3705
5,-3096
6,-3670
7,-4358
8,-3503
9,-3954
10,-4542
11,-4384
12,-3430
13,-3931
14,-5531
15,-3736
16,-4075
17,-3595
18,-3883
19,-5599
20,-3786
21,-3713
22,-3846
23,-3903
24,-4739
25,-3443
26,-4186
27,-3646
28,-3393
29,-3519
30,-3963
31,-4037
32,-3551
33,-3680
34,-4059
35,-4285
36,-5007
37,-3438
38,-3635
39,-3511
40,-4637
41,-3749
42,-3687
43,-3635
44,-3408
45,-3760
46,-4821
47,-4269
48,-3788
49,-3789
50,-5329
51,-3985
52,-4414
53,-4269
54,-4038
55,-4223
56,-5136
57,-4230
58,-4643
59,-3164
60,-3747
61,-3684
62,-3228
63,-4229
64,-3699
65,-4193
66,-3447
67,-4863
68,-3678
69,-3469
70,-3600
71,-3951
72,-3383
73,-3911
74,-4455
75,-3891
76,-3498
77,-3834
78,-3769
79,-3731
80,-4374
81,-3349
82,-3687
83,-3404
84,-4492
85,-3416
86,-5344
87,-3744
88,-3654
89,-4036
90,-4713
91,-4511
92,-3989
93,-3971
94,-3706
95,-5245
96,-5384
97,-5031
98,-3753
99,-4096
100,-3670
101,-5112
102,-3452
103,-3506
104,-3523
105,-3897
106,-5023
107,-3710
108,-3613
109,-3935
110,-3701
111,-3454
112,-3300
113,-3514
114,-3730
115,-4318
116,-3284
117,-4152
118,-3765
119,-3974
120,-3904
121,-3615
122,-4011
123,-3589
124,-3652
125,-4787
126,-4230
127,-4002
128,-3842
129,-3743
130,-3691
131,-4026
132,-3722
133,-2999
134,-3491
135,-3760
136,-3819
137,-5784
138,-3913
139,-4899
140,-3484
141,-3605
142,-3542
143,-4329
144,-4101
145,-3759
146,-3818
147,-3955
148,-3544
149,-3755
150,-3622
151,-4245
152,-3680
153,-3652
154,-3701
155,-4197
156,-4491
157,-4146
158,-4308
159,-3698
160,-3382
161,-3357
162,-4024
163,-3654
164,-3867
165,-4043
166,-3923
167,-4592
168,-3642
169,-4505
170,-3189
171,-3647
172,-4609
173,-4130
174,-3627
175,-3736
176,-3597
177,-3818
178,-3567
179,-3831
180,-3323
181,-4652
182,-3591
183,-3462
184,-3410
185,-3631
186,-3484
187,-4466
188,-3869
189,-3705
190,-5034
191,-3894
192,-3839
193,-4947
194,-4180
195,-3772
196,-3517
197,-3256
198,-3337
199,-3727
200,-3970
201,-4049
202,-3505
203,-4052
204,-3479
205,-4323
206,-3021
207,-4397
208,-3516
209,-3530
210,-3008
211,-3961
212,-3412
213,-4582
214,-3481
215,-3610
216,-3278
217,-3464
218,-3287
219,-4241
220,-4061
221,-3752
222,-3765
223,-3670
224,-5450
225,-4688
226,-3532
227,-4306
228,-3854
229,-3495
230,-3711
231,-3346
232,-4315
233,-3569
234,-4214
235,-4540
236,-3339
237,-3744
238,-4339
239,-5656
240,-3974
241,-3845
242,-3870
243,-5177
244,-2974
245,-4209
246,-3217
247,-3347
248,-4686
249,-4716
250,-3674
251,-2960
252,-4612
253,-3360
254,-4462
255,-3831
256,-4368
257,-3467
258,-3846
259,-3846
260,-3404
261,-3924
262,-4658
263,-3907
264,-3704
265,-3995
266,-4850
267,-3134
268,-3606
269,-3343
270,-3217
271,-3255
272,-4083
273,-3662
274,-3648
275,-3642
276,-3881
277,-4173
278,-4524
279,-3356
280,-3330
281,-3691
282,-3921
283,-3692
284,-3299
285,-3555
286,-3647
287,-3775
288,-3696
289,-3564
290,-3113
291,-3848
292,-3718
293,-4091
294,-3616
295,-4206
296,-3599
297,-5007
298,-3463
299,-3022
300,-4885
301,-4110
302,-3782
303,-4095
304,-3804
305,-3686
306,-3240
307,-3527
308,-3312
309,-3568
310,-2995
311,-4438
312,-3912
313,-3174
314,-3682
315,-3748
316,-4319
317,-4056
318,-4122
319,-3391
320,-3754
321,-3773
322,-3982
323,-3399
324,-4107
325,-3836
326,-2974
327,-4234
328,-3713
329,-3594
330,-3501
331,-3319
332,-3564
333,-4294
334,-3700
335,-3333
336,-3674
337,-3325
338,-3940
339,-3725
340,-4302
341,-3361
342,-3449
343,-3701
344,-3762
345,-3706
346,-4257
347,-3275
348,-3417
349,-3764
350,-3842
351,-3570
352,-3203
353,-3097
354,-3502
355,-3328
356,-3841
357,-4183
358,-3869
359,-4511
360,-3284
361,-3377
362,-4185
363,-3949
364,-2899
365,-3753
366,-3566
367,-3058
368,-3527
369,-4366
370,-3643
371,-3285
372,-3816
373,-5047
374,-4017
375,-4460
376,-3383
377,-3701
378,-3561
379,-3081
380,-3865
381,-4418
382,-3797
383,-3283
384,-5253
385,-3802
386,-3339
387,-3641
388,-3623
389,-4540
390,-3243
391,-2850
392,-3561
393,-3674
394,-4106
395,-4649
396,-3768
397,-4207
398,-4367
399,-4261
400,-3671
401,-3989
402,-3799
403,-4068
404,-3438
405,-3966
406,-3988
407,-3678
408,-4305
409,-4078
410,-3936
411,-3377
412,-4252
413,-3789
414,-3533
415,-4446
416,-3291
417,-3572
418,-4625
419,-3356
420,-2957
421,-3174
422,-3823
423,-4546
424,-3239
425,-4497
426,-3370
427,-3934
428,-3217
429,-3722
430,-3226
431,-3736
432,-3929
433,-3121
