,reward
0,-5019
1,-3313
2,-2808
3,-3698
4,-3247
5,-3200
6,-2981
7,-3616
8,-3365
9,-3601
10,-3249
11,-3880
12,-3592
13,-3665
14,-3246
15,-4172
16,-4573
17,-3762
18,-3107
19,-3104
20,-3258
21,-3705
22,-3349
23,-3090
24,-4349
25,-3080
26,-3415
27,-3249
28,-3793
29,-2982
30,-3550
31,-2828
32,-3076
33,-3465
34,-2914
35,-3582
36,-2958
37,-2979
38,-4016
39,-3363
40,-3137
41,-3867
42,-2781
43,-2713
44,-2905
45,-3793
46,-4028
47,-3078
48,-3578
49,-3663
50,-3200
51,-3932
52,-2794
53,-3582
54,-3014
55,-3017
56,-3669
57,-3192
58,-3311
59,-3418
60,-2677
61,-3344
62,-2948
63,-3027
64,-3266
65,-3420
66,-2944
67,-2659
68,-3504
69,-4695
70,-3385
71,-2846
72,-5166
73,-2865
74,-5592
75,-3318
76,-3336
77,-2930
78,-3091
79,-3211
80,-3433
81,-2942
82,-3140
83,-3037
84,-2392
85,-2869
86,-2876
87,-2969
88,-2961
89,-3281
90,-3081
91,-2924
92,-3121
93,-2772
94,-2482
95,-2907
96,-3610
97,-3891
98,-4060
99,-3896
100,-3027
101,-3050
102,-3689
103,-2728
104,-3579
105,-2984
106,-2795
107,-2610
108,-3631
109,-3036
110,-2882
111,-2765
112,-2669
113,-2954
114,-2923
115,-2615
116,-3021
117,-2880
118,-2773
119,-3339
120,-3208
121,-2946
122,-2646
123,-3677
124,-2964
125,-3045
126,-2790
127,-2618
128,-3155
129,-3282
130,-3054
131,-3589
132,-2957
133,-2518
134,-3211
135,-3015
136,-2846
137,-2948
138,-3308
139,-2779
140,-3367
141,-2611
142,-2378
143,-3228
144,-2837
145,-2806
146,-3246
147,-2683
148,-2955
149,-3186
150,-4455
151,-2963
152,-2965
153,-3239
154,-2601
155,-3071
156,-2470
157,-2490
158,-2573
159,-2733
160,-2726
161,-2818
162,-2773
163,-3563
164,-2666
165,-2799
166,-2623
167,-2729
168,-2928
169,-3103
170,-2961
171,-3203
172,-2600
173,-2512
174,-3437
175,-2822
176,-3159
177,-2452
178,-2818
179,-3228
180,-2610
181,-3153
182,-2688
183,-2913
184,-2492
185,-2756
186,-3007
187,-2694
188,-2817
189,-3047
190,-2914
191,-2849
192,-2677
193,-2636
194,-2652
195,-2927
196,-2673
197,-3112
198,-2774
199,-2911
200,-2652
201,-2835
202,-2683
203,-2796
204,-3121
205,-3328
206,-2646
207,-2778
208,-2500
209,-2206
210,-2935
211,-3036
212,-3988
213,-2850
214,-2395
215,-2510
216,-2129
217,-2983
218,-2673
219,-3006
220,-2547
221,-2607
222,-2625
223,-2672
224,-2719
225,-2527
226,-3378
227,-3089
228,-2742
229,-2945
230,-2401
231,-2853
232,-2754
233,-2855
234,-2184
235,-2411
236,-2423
237,-2970
238,-2629
239,-2816
240,-2743
241,-2710
242,-2765
243,-3019
244,-2830
245,-2486
246,-2935
247,-3340
248,-2403
249,-2586
250,-2886
251,-2805
252,-2495
253,-3052
254,-2828
255,-3022
256,-2617
257,-2594
258,-3112
259,-3065
260,-2547
261,-3040
262,-3130
263,-2541
264,-2616
265,-2476
266,-2701
267,-2796
268,-2822
269,-2442
270,-2680
271,-2704
272,-2723
273,-2992
274,-2396
275,-3203
276,-3125
277,-2581
278,-3083
279,-2829
280,-2183
281,-2391
282,-2784
283,-2686
284,-2394
285,-2386
286,-2106
287,-2510
288,-2461
289,-2742
290,-2442
291,-2308
292,-2499
293,-2458
294,-2541
295,-2682
296,-2302
297,-2839
298,-2759
299,-3073
300,-3134
301,-2478
302,-2621
303,-2626
304,-3088
305,-3859
306,-3092
307,-2744
308,-2442
309,-2622
310,-2687
311,-2781
312,-2288
313,-2727
314,-2780
315,-3082
316,-2915
317,-2669
318,-2330
319,-2914
320,-2714
321,-2891
322,-2214
323,-2795
324,-2792
325,-2461
326,-2576
327,-3076
328,-2583
329,-2388
330,-2789
331,-2654
332,-2562
333,-2678
334,-2284
335,-2236
336,-2488
337,-2880
338,-2802
339,-2865
340,-2456
341,-2246
342,-2689
343,-2354
344,-2653
345,-2939
346,-2731
347,-2356
348,-2694
349,-3646
350,-2822
351,-2867
352,-2966
353,-2721
354,-2189
355,-2487
356,-2807
357,-2665
358,-2671
359,-2183
360,-2443
361,-2106
362,-2610
363,-2301
364,-2163
365,-2499
366,-2429
367,-2080
368,-2670
369,-3373
370,-3419
371,-2626
372,-3039
373,-2363
374,-2945
375,-2215
376,-2284
377,-2967
378,-2797
379,-2677
380,-2487
381,-2845
382,-2511
383,-2627
384,-2942
385,-2729
386,-2474
387,-2634
388,-2703
389,-2583
390,-2314
391,-2618
392,-2183
393,-2707
394,-2706
395,-3101
396,-2632
397,-2425
398,-3082
399,-3233
400,-2580
401,-2960
402,-2801
403,-3718
404,-2539
405,-2397
406,-2887
407,-2307
408,-2395
409,-2721
410,-2467
411,-2277
412,-3092
413,-3224
414,-3186
415,-2557
416,-2310
417,-2687
418,-2387
419,-2555
420,-2375
421,-2825
422,-2718
423,-2498
424,-2686
425,-2460
426,-2699
427,-2431
428,-2410
429,-2377
430,-2904
431,-2866
432,-2389
433,-2688
434,-2455
435,-3242
436,-2384
437,-2638
438,-2531
439,-2901
440,-2310
441,-2576
442,-2805
443,-2152
444,-2193
445,-2912
446,-2605
447,-2733
448,-2919
449,-2733
450,-2781
451,-2615
452,-2453
453,-2545
454,-2882
455,-2794
456,-3105
457,-2656
458,-2589
459,-2560
460,-2640
461,-2489
462,-2446
463,-2860
464,-2664
465,-2550
466,-2489
467,-2785
468,-2704
469,-2854
470,-2760
471,-2474
472,-3304
473,-2354
474,-2012
475,-2589
476,-2589
477,-2510
478,-2545
479,-2262
480,-2530
481,-2585
482,-2711
483,-2126
484,-2781
485,-3213
486,-2409
487,-2789
488,-5426
489,-2726
490,-2633
491,-2529
492,-2773
493,-2356
494,-2656
495,-2510
496,-2377
497,-2639
498,-2369
499,-2726
500,-2067
501,-2643
502,-2307
503,-2746
504,-2837
505,-2564
506,-2712
507,-2844
508,-1997
509,-3509
510,-2639
511,-2584
512,-2720
513,-2810
514,-2877
515,-2367
516,-2905
517,-2577
518,-2092
519,-2529
520,-2255
521,-2788
522,-2687
523,-2425
524,-2479
525,-4482
526,-2505
527,-2411
528,-1979
529,-2385
530,-2625
531,-2547
532,-2460
533,-2695
534,-2441
535,-2234
536,-2513
537,-2664
538,-2879
539,-2959
540,-2599
541,-3132
542,-2221
543,-2726
544,-2523
545,-2559
546,-2982
547,-2761
548,-2052
549,-2786
550,-2459
551,-3545
552,-2609
553,-2173
554,-2665
555,-2496
556,-2795
557,-2474
558,-2744
559,-2393
560,-2572
561,-2608
562,-2544
563,-2830
564,-2295
565,-3043
566,-2622
567,-2684
568,-2446
569,-2700
570,-2415
571,-2620
572,-2889
573,-2600
574,-2535
575,-2876
576,-2687
577,-3098
578,-2740
579,-2184
580,-2900
581,-2313
582,-3018
583,-3452
584,-3106
585,-2179
586,-2670
587,-2263
588,-2573
589,-2556
590,-2654
591,-2688
592,-2482
593,-2415
594,-2733
595,-2603
596,-2881
597,-2541
598,-2353
599,-2586
600,-2641
601,-2352
602,-2223
603,-2832
604,-2694
605,-2706
606,-2327
607,-2246
608,-2472
609,-2655
610,-2663
611,-3316
612,-2266
613,-2168
614,-2854
615,-4699
616,-2291
617,-2305
618,-2101
619,-2327
620,-2530
621,-3378
622,-2940
623,-2339
624,-2520
625,-2699
626,-2746
627,-2026
628,-2746
629,-2257
630,-2615
631,-2641
632,-2588
633,-2470
634,-2440
635,-2589
636,-2628
637,-2391
638,-1887
639,-2565
640,-2145
641,-2886
642,-2466
643,-2264
644,-2371
645,-2382
646,-2349
647,-2112
648,-2403
649,-2412
650,-2565
651,-2238
652,-2213
653,-2299
654,-2955
655,-2452
656,-2499
657,-2505
658,-2478
659,-2942
660,-2738
661,-2548
662,-2319
663,-2360
664,-2634
665,-2131
666,-2536
667,-2243
668,-2814
669,-2458
670,-2752
671,-2190
672,-2367
673,-2491
674,-2420
675,-3359
676,-2937
677,-3087
678,-2882
679,-2520
680,-2972
681,-3111
682,-2345
683,-2024
684,-2445
685,-3108
686,-2776
687,-2887
688,-2054
689,-2727
690,-2407
691,-2779
692,-1971
693,-2302
694,-2600
695,-2682
696,-2489
697,-2391
698,-2401
699,-2698
700,-2219
701,-2398
702,-2233
703,-2743
704,-2703
705,-2468
706,-3174
707,-2118
708,-2592
709,-2803
710,-2792
711,-2362
712,-2567
713,-2236
714,-2732
715,-2433
716,-2732
717,-2164
718,-2411
719,-2577
720,-2300
721,-2634
722,-2257
723,-2274
724,-2530
725,-2913
726,-2512
727,-1965
728,-2920
729,-2530
730,-2870
731,-2892
732,-2201
733,-2423
734,-2576
735,-2276
736,-2073
737,-2583
738,-3046
739,-2749
740,-2307
741,-2664
742,-2617
743,-2304
744,-2336
745,-2598
746,-2610
747,-2780
748,-2800
749,-2596
750,-2203
751,-2408
752,-2129
753,-2954
754,-2576
755,-2966
756,-2154
757,-3056
758,-2268
759,-2259
760,-2534
761,-2329
762,-2997
763,-1861
764,-2370
765,-3476
766,-2968
767,-2649
768,-2585
769,-3185
770,-2172
771,-2381
772,-2472
773,-2906
774,-2494
775,-2369
776,-2237
777,-2874
778,-2892
779,-2145
780,-2506
781,-3351
782,-2340
783,-2951
784,-2479
785,-4120
786,-2819
787,-2720
788,-2820
789,-2973
790,-2818
791,-2399
792,-2627
793,-2572
794,-3165
795,-2382
796,-2301
797,-2556
798,-2363
799,-2342
800,-3225
801,-2715
802,-3142
803,-2707
804,-2747
805,-2635
806,-2463
807,-2203
808,-2684
809,-2528
810,-2458
811,-2305
812,-2711
813,-3759
814,-2864
815,-2486
816,-2079
817,-2112
818,-2727
819,-3280
820,-2756
821,-2466
822,-2583
823,-1970
824,-2748
825,-2764
826,-3331
827,-2339
828,-2510
829,-2254
830,-3239
831,-2527
832,-2446
833,-2535
834,-2944
835,-2312
836,-2173
837,-2705
838,-2123
839,-2915
840,-2482
841,-2247
842,-2261
843,-2189
844,-2833
845,-2886
846,-2584
847,-2503
848,-2578
849,-2319
850,-2668
851,-2740
852,-2771
853,-2235
854,-2949
855,-2325
856,-3602
857,-2457
858,-2536
859,-2176
860,-2165
861,-2212
862,-2691
863,-1939
864,-3526
865,-2414
866,-2366
867,-2235
868,-2626
869,-2794
870,-2477
871,-2345
872,-2782
873,-2880
874,-2797
875,-2524
876,-2744
877,-2206
878,-2507
879,-1907
880,-2945
881,-3707
882,-2396
883,-3349
884,-2086
885,-2197
886,-4510
887,-2173
888,-2564
889,-2728
890,-2567
891,-2457
892,-1875
893,-2298
894,-2326
895,-2576
896,-2192
897,-2917
898,-2731
899,-4641
900,-2481
901,-2724
902,-2729
903,-3144
904,-2131
905,-2749
906,-2146
907,-1790
908,-2775
909,-2125
910,-2155
911,-2154
912,-3071
913,-2550
914,-2588
915,-7383
916,-1877
917,-2601
918,-2242
919,-2313
920,-2733
921,-2355
922,-2281
923,-4249
924,-1838
925,-2194
926,-2070
927,-2635
928,-2208
929,-1951
930,-2292
931,-2575
932,-2452
933,-2304
934,-2401
935,-2434
936,-2246
937,-2339
938,-3586
939,-3032
940,-2061
941,-2003
942,-2255
943,-2474
944,-2270
945,-2015
946,-2250
947,-2613
948,-2640
949,-2660
950,-2864
951,-2309
952,-2069
953,-2248
954,-2541
955,-2369
956,-2471
957,-2875
958,-1800
959,-2165
960,-2414
961,-2131
962,-2470
963,-2229
964,-2901
965,-2209
966,-2950
967,-2335
968,-2681
969,-2187
970,-6512
971,-2170
972,-2038
973,-3009
974,-3777
975,-2700
976,-3396
977,-2124
978,-2356
979,-2491
980,-1997
981,-2391
982,-2188
983,-3181
984,-2513
985,-2656
986,-6369
987,-2425
988,-2342
989,-2527
990,-3430
991,-2086
992,-1971
993,-2161
994,-2378
995,-2313
996,-2503
997,-2629
998,-2381
999,-2042
1000,-2901
1001,-2327
1002,-2125
1003,-2257
1004,-2347
1005,-1870
1006,-3441
1007,-2888
1008,-2207
1009,-2202
1010,-2115
1011,-2510
1012,-3897
1013,-2086
1014,-2205
1015,-2303
1016,-2491
1017,-2184
1018,-2329
1019,-2671
1020,-3093
1021,-2534
1022,-2221
1023,-2751
1024,-3639
1025,-2463
1026,-2379
1027,-2501
1028,-2220
1029,-2371
1030,-2363
1031,-2180
1032,-2169
1033,-2191
1034,-2286
1035,-3249
1036,-2212
1037,-2897
1038,-2890
1039,-2715
1040,-2895
1041,-2383
1042,-2178
1043,-2981
1044,-3216
1045,-2621
1046,-2417
1047,-3030
1048,-2281
1049,-2810
1050,-2530
1051,-2905
1052,-2399
1053,-3164
1054,-2347
1055,-2325
1056,-2605
1057,-1813
1058,-2558
1059,-2024
1060,-2341
1061,-2146
1062,-2809
1063,-2409
1064,-2543
1065,-1900
1066,-2742
1067,-2904
1068,-2562
1069,-2322
1070,-2549
1071,-2450
1072,-2478
1073,-2699
1074,-2251
1075,-2102
1076,-2345
1077,-2523
1078,-2389
1079,-2542
1080,-2638
1081,-2067
1082,-2969
1083,-2024
1084,-2443
1085,-2159
1086,-2463
1087,-2459
1088,-2221
1089,-2111
1090,-2420
1091,-2117
1092,-2126
1093,-1811
1094,-2348
1095,-2795
1096,-2158
1097,-2480
1098,-2290
1099,-2617
1100,-2332
1101,-1842
1102,-2912
1103,-2857
1104,-2343
1105,-3175
1106,-2160
1107,-2622
1108,-2275
1109,-1961
1110,-2416
1111,-2482
1112,-2318
1113,-1874
1114,-2244
1115,-1785
1116,-2222
1117,-2149
1118,-2571
1119,-2438
1120,-2119
1121,-3048
1122,-2308
1123,-2967
1124,-2324
1125,-1908
1126,-2289
1127,-1985
1128,-2333
1129,-2011
1130,-2438
1131,-2811
1132,-2142
1133,-2658
1134,-2118
1135,-2039
1136,-2449
1137,-1761
1138,-2072
1139,-2170
1140,-2557
1141,-2136
1142,-2122
1143,-2172
1144,-2432
1145,-2205
1146,-2469
