,reward
0,-4703
1,-3197
2,-3405
3,-3178
4,-2887
5,-3591
6,-3141
7,-3196
8,-3880
9,-3288
10,-3290
11,-3119
12,-3858
13,-3398
14,-3214
15,-4008
16,-3354
17,-2846
18,-3920
19,-3160
20,-5575
21,-3351
22,-3535
23,-3538
24,-3276
25,-3959
26,-2659
27,-3435
28,-4317
29,-2939
30,-4604
31,-2917
32,-3286
33,-2809
34,-3801
35,-3016
36,-3318
37,-3490
38,-4089
39,-3723
40,-3293
41,-3499
42,-3222
43,-2768
44,-3078
45,-3001
46,-2880
47,-3427
48,-3164
49,-3196
50,-3024
51,-3604
52,-3718
53,-3227
54,-3503
55,-2844
56,-3700
57,-2598
58,-3082
59,-3158
60,-3651
61,-2812
62,-4075
63,-2983
64,-3683
65,-3509
66,-3333
67,-3160
68,-2601
69,-2811
70,-2833
71,-3205
72,-2939
73,-3678
74,-2953
75,-2615
76,-3409
77,-3220
78,-2976
79,-2892
80,-2517
81,-3127
82,-3036
83,-3107
84,-3361
85,-2590
86,-2736
87,-3252
88,-2933
89,-3261
90,-2614
91,-3363
92,-2799
93,-3645
94,-2827
95,-4017
96,-3205
97,-2850
98,-4526
99,-2731
100,-2771
101,-2955
102,-3784
103,-2552
104,-3577
105,-2887
106,-3093
107,-3083
108,-3419
109,-2850
110,-2659
111,-3318
112,-3798
113,-2821
114,-2659
115,-3018
116,-2844
117,-3014
118,-3241
119,-2639
120,-2632
121,-3103
122,-3161
123,-2883
124,-2995
125,-2791
126,-2934
127,-2956
128,-2986
129,-2717
130,-2825
131,-2907
132,-2784
133,-2732
134,-3209
135,-3292
136,-2327
137,-3099
138,-2635
139,-2240
140,-3368
141,-3498
142,-2659
143,-2870
144,-3443
145,-2503
146,-3132
147,-2776
148,-2944
149,-2608
150,-3216
151,-2813
152,-2610
153,-2285
154,-3114
155,-2545
156,-2980
157,-3076
158,-3195
159,-2716
160,-2217
161,-3152
162,-3495
163,-2971
164,-2948
165,-2412
166,-2970
167,-2748
168,-2520
169,-2663
170,-2618
171,-2675
172,-3274
173,-2898
174,-2653
175,-3339
176,-2684
177,-2769
178,-2914
179,-2758
180,-2631
181,-2418
182,-2515
183,-3007
184,-2853
185,-2656
186,-3065
187,-2453
188,-2880
189,-3162
190,-2917
191,-2747
192,-2876
193,-3157
194,-2881
195,-2819
196,-3017
197,-2705
198,-2851
199,-3102
200,-2678
201,-2955
202,-3287
203,-2576
204,-3162
205,-3852
206,-2669
207,-2651
208,-2443
209,-2633
210,-3851
211,-2644
212,-3374
213,-2734
214,-2688
215,-2708
216,-3053
217,-2496
218,-2841
219,-2704
220,-3101
221,-2443
222,-3026
223,-2649
224,-2781
225,-2490
226,-2315
227,-2671
228,-2593
229,-2851
230,-3405
231,-2641
232,-2708
233,-2732
234,-2570
235,-3883
236,-2731
237,-2484
238,-2500
239,-2800
240,-2776
241,-2552
242,-2386
243,-2858
244,-3069
245,-2419
246,-2845
247,-2493
248,-2229
249,-2810
250,-2651
251,-3183
252,-2614
253,-2458
254,-3143
255,-2413
256,-2656
257,-2421
258,-2777
259,-2805
260,-3014
261,-2762
262,-3107
263,-2656
264,-2535
265,-2348
266,-2456
267,-2648
268,-2423
269,-2725
270,-2409
271,-2770
272,-2935
273,-2175
274,-2286
275,-2700
276,-2664
277,-2326
278,-2380
279,-2256
280,-2836
281,-3235
282,-2950
283,-3587
284,-2398
285,-2522
286,-3049
287,-2547
288,-2575
289,-2651
290,-2821
291,-3490
292,-2571
293,-2401
294,-2791
295,-2761
296,-2356
297,-2693
298,-3198
299,-3018
300,-2619
301,-2095
302,-2542
303,-2368
304,-2857
305,-2782
306,-2721
307,-2457
308,-2377
309,-2522
310,-2204
311,-2714
312,-2652
313,-2573
314,-2291
315,-2801
316,-2932
317,-2652
318,-2585
319,-2472
320,-2652
321,-2509
322,-3150
323,-2494
324,-2610
325,-5156
326,-2410
327,-2515
328,-2763
329,-2272
330,-3114
331,-2680
332,-3039
333,-2186
334,-2340
335,-3195
336,-2758
337,-2674
338,-2445
339,-2363
340,-2244
341,-3340
342,-2609
343,-2719
344,-2558
345,-2473
346,-3126
347,-2564
348,-2873
349,-2695
350,-2407
351,-3419
352,-2940
353,-2359
354,-2692
355,-3069
356,-2485
357,-2691
358,-2674
359,-3363
360,-2756
361,-2357
362,-3184
363,-2208
364,-2367
365,-2648
366,-2723
367,-3314
368,-2620
369,-2662
370,-2798
371,-3431
372,-4309
373,-2724
374,-2895
375,-2854
376,-2355
377,-2633
378,-2914
379,-3097
380,-2961
381,-2225
382,-2396
383,-2075
384,-2777
385,-2634
386,-2673
387,-2300
388,-2845
389,-2458
390,-2570
391,-2832
392,-2568
393,-3161
394,-3067
395,-2594
396,-2604
397,-2412
398,-2415
399,-2841
400,-2372
401,-2462
402,-2446
403,-3356
404,-2466
405,-2810
406,-2275
407,-2781
408,-2336
409,-2469
410,-2827
411,-3192
412,-2715
413,-2599
414,-2859
415,-2484
416,-2107
417,-2574
418,-2499
419,-2832
420,-2280
421,-2116
422,-2741
423,-3012
424,-3075
425,-2391
426,-2090
427,-2592
428,-2484
429,-2450
430,-2068
431,-2662
432,-2413
433,-2698
434,-2987
435,-2624
436,-3119
437,-2476
438,-2569
439,-3045
440,-2526
441,-1798
442,-2112
443,-2210
444,-2382
445,-2607
446,-2547
447,-2214
448,-2524
449,-2623
450,-2846
451,-2529
452,-2517
453,-2399
454,-2474
455,-2449
456,-2747
457,-2326
458,-2352
459,-2776
460,-2596
461,-2120
462,-2471
463,-2112
464,-2577
465,-2575
466,-2595
467,-2396
468,-2677
469,-2623
470,-2654
471,-2711
472,-2079
473,-2705
474,-2866
475,-2080
476,-2469
477,-2515
478,-2178
479,-2770
480,-2802
481,-2192
482,-2932
483,-2727
484,-2899
485,-2338
486,-2860
487,-2581
488,-1945
489,-2409
490,-3017
491,-2713
492,-2245
493,-2450
494,-2358
495,-2212
496,-2502
497,-2657
498,-2621
499,-2281
500,-2590
501,-2421
502,-2392
503,-2268
504,-2517
505,-3228
506,-2361
507,-2935
508,-2757
509,-2538
510,-2818
511,-2385
512,-2672
513,-2128
514,-2616
515,-2403
516,-2538
517,-2642
518,-2765
519,-2244
520,-2628
521,-2576
522,-2436
523,-3521
524,-2190
525,-2163
526,-3080
527,-2098
528,-2752
529,-2463
530,-2390
531,-2275
532,-2361
533,-2809
534,-2453
535,-2594
536,-2541
537,-2315
538,-2646
539,-2378
540,-2567
541,-2357
542,-2511
543,-3038
544,-2335
545,-2464
