,reward
0,-3447
1,-2481
2,-3065
3,-2243
4,-2203
5,-2812
6,-2525
7,-2583
8,-2173
9,-2290
10,-2165
11,-2406
12,-2856
13,-2671
14,-2323
15,-2381
16,-2554
17,-2585
18,-2509
19,-2120
20,-2380
21,-2377
22,-2470
23,-2197
24,-2691
25,-2285
26,-2452
27,-2354
28,-2983
29,-3078
30,-2843
31,-2722
32,-2239
33,-2273
34,-2555
35,-2075
36,-2217
37,-2718
38,-2683
39,-2510
40,-2585
41,-2686
42,-2192
43,-2529
44,-2309
45,-2603
46,-2511
47,-2304
48,-2431
49,-2566
50,-2421
51,-2871
52,-2011
53,-2608
54,-2659
55,-2292
56,-2304
57,-3145
58,-2523
59,-2378
60,-3180
61,-2399
62,-2008
63,-2188
64,-2026
65,-2404
66,-2127
67,-1969
68,-2101
69,-2481
70,-1959
71,-2202
72,-2325
73,-2533
74,-2218
75,-2180
76,-2085
77,-2270
78,-2497
79,-2682
80,-2829
81,-2073
82,-2183
83,-2329
84,-2442
85,-2152
86,-2172
87,-2287
88,-2081
89,-2161
90,-2052
91,-2253
92,-2089
93,-2424
94,-2163
95,-2148
96,-2313
97,-2167
98,-2133
99,-1812
100,-2239
101,-2108
102,-2270
103,-2178
104,-1857
105,-1914
106,-3023
107,-2085
108,-1981
109,-2190
110,-1877
111,-2426
112,-2100
113,-2413
114,-2484
115,-1990
116,-2032
117,-2014
118,-2020
119,-1790
120,-2097
121,-1969
122,-2101
123,-1927
124,-1681
125,-1611
126,-5025
127,-2029
128,-2295
129,-1765
130,-1809
131,-1735
132,-2205
133,-1980
134,-1998
135,-2369
136,-2143
137,-1939
138,-2119
139,-2177
140,-2221
141,-2182
142,-2081
143,-2010
144,-1767
145,-1932
146,-1742
147,-1895
148,-1884
149,-1869
150,-2324
151,-1769
152,-2213
153,-1816
154,-2407
155,-1874
156,-2281
157,-2068
158,-2015
159,-2049
160,-1984
161,-1788
162,-1840
163,-1784
164,-2138
165,-2000
166,-2012
167,-1861
168,-2023
169,-2108
170,-2147
171,-1929
172,-1598
173,-1999
174,-2200
175,-1966
176,-2046
177,-1925
178,-2381
179,-2111
180,-1594
181,-1975
182,-1972
183,-2021
184,-2196
185,-2323
186,-1963
187,-2033
188,-2108
189,-2123
190,-2056
191,-2046
192,-1841
193,-1597
194,-1753
195,-2318
196,-2071
197,-1927
198,-1821
199,-1983
200,-1825
201,-2295
202,-2073
203,-1838
204,-1833
205,-1915
206,-2077
207,-2033
208,-1842
209,-2010
210,-1827
211,-2139
212,-1978
213,-1847
214,-1791
215,-1997
216,-1857
217,-1931
218,-1875
219,-1746
220,-2758
221,-2197
222,-2088
223,-1847
224,-1870
225,-2152
226,-1920
227,-1736
228,-1747
229,-1712
230,-2025
231,-1672
232,-1921
233,-1789
234,-1867
235,-1978
236,-1617
237,-1955
238,-1879
239,-1635
240,-2124
241,-1718
242,-1806
243,-1738
244,-1778
245,-1976
246,-1825
247,-1981
248,-1968
249,-2087
250,-1808
251,-1920
252,-1860
253,-1786
254,-1767
255,-1870
256,-2251
257,-2023
258,-1651
259,-1973
260,-1794
261,-1617
262,-1492
263,-1799
264,-1751
265,-1735
266,-1700
267,-1813
268,-1797
269,-1811
270,-1754
271,-1699
272,-1730
273,-1874
274,-1807
275,-1638
276,-1865
277,-1818
278,-1764
279,-1843
280,-1910
281,-1897
282,-1597
283,-1555
284,-1872
285,-1383
286,-1841
287,-1683
288,-1917
289,-1733
290,-1968
291,-1657
292,-1710
293,-1571
294,-1800
295,-1564
296,-1657
297,-1927
298,-1654
299,-1759
300,-1805
301,-1909
302,-2017
303,-1890
304,-1577
305,-1911
306,-1932
307,-1661
308,-1755
309,-2125
310,-1749
311,-1748
312,-2169
313,-1759
314,-1742
315,-2008
316,-1465
317,-1667
318,-1830
319,-1792
320,-1781
321,-1715
322,-1751
323,-2042
324,-1589
325,-1573
326,-1836
327,-1935
328,-1717
329,-1743
330,-1697
331,-1687
332,-1733
333,-1840
334,-1848
335,-1769
336,-1616
337,-1885
338,-1792
339,-1553
340,-1589
