,reward
0,-4178
1,-3717
2,-4249
3,-5155
4,-4329
5,-2788
6,-4000
7,-4053
8,-3833
9,-3500
10,-3819
11,-4108
12,-3991
13,-3591
14,-3217
15,-3351
16,-5066
17,-4590
18,-3233
19,-3464
20,-4080
21,-4270
22,-3574
23,-3296
24,-3496
25,-4015
26,-3655
27,-3205
28,-3950
29,-3559
30,-3227
31,-3511
32,-3450
33,-3717
34,-3551
35,-4309
36,-3519
37,-5642
38,-3526
39,-4028
40,-3997
41,-3762
42,-4349
43,-3443
44,-3265
45,-3087
46,-4813
47,-3687
48,-4968
49,-3898
50,-3354
51,-3559
52,-4004
53,-3571
54,-3808
55,-3774
56,-3017
57,-3437
58,-4058
59,-5544
60,-3361
61,-3825
62,-4856
63,-3118
64,-3342
65,-4187
66,-3785
67,-3658
68,-3773
69,-3691
70,-3225
71,-3530
72,-3462
73,-4666
74,-3162
75,-3368
76,-3712
77,-3711
78,-3674
79,-3315
80,-3182
81,-3410
82,-3430
83,-3588
84,-3413
85,-3880
86,-3464
87,-3607
88,-3554
89,-4019
90,-3500
91,-3848
92,-3352
93,-3499
94,-3425
95,-3446
96,-2855
97,-3587
98,-3320
99,-4203
100,-3555
101,-3170
102,-3244
103,-3411
104,-4018
105,-3461
106,-3587
107,-3807
108,-3814
109,-2916
110,-3478
111,-3795
112,-3898
113,-3834
114,-3326
115,-3754
116,-3499
117,-3179
118,-3728
119,-3595
120,-3038
121,-3114
122,-3092
123,-3080
124,-2875
125,-4230
126,-3666
127,-2944
128,-3681
129,-3373
130,-3116
131,-3206
132,-3309
133,-3444
134,-3195
135,-3650
136,-3750
137,-3557
138,-3228
139,-3972
140,-3385
141,-3389
142,-3130
143,-3031
144,-3165
145,-3512
146,-3933
147,-3073
148,-3615
149,-3458
150,-3230
151,-3011
152,-4104
153,-3547
154,-4019
155,-3496
156,-3909
157,-3661
158,-2604
159,-3524
160,-2943
161,-3210
162,-3399
163,-3001
164,-3223
165,-3814
166,-3355
167,-3304
168,-3629
169,-3441
170,-3738
171,-3196
172,-3600
173,-3306
174,-2969
175,-3579
176,-3344
177,-2844
178,-3200
179,-3261
180,-3271
181,-3453
182,-3564
183,-3836
184,-3141
185,-3423
186,-2980
187,-3424
188,-3488
189,-3300
190,-3475
191,-3540
192,-3197
193,-2999
194,-2997
195,-3784
196,-3198
197,-3366
198,-3923
199,-3367
200,-3524
201,-3056
202,-3489
203,-3325
204,-3907
205,-3549
206,-3287
207,-2737
208,-3129
209,-3551
210,-3412
211,-3165
212,-2991
213,-2857
214,-3326
215,-3134
216,-2768
217,-3991
218,-3901
219,-3147
220,-2926
221,-2878
222,-3855
223,-3647
224,-3110
225,-3071
226,-2979
227,-2924
228,-3036
