,reward
0,-3447
1,-2481
2,-3065
3,-2243
4,-2203
5,-2799
6,-2525
7,-2583
8,-2233
9,-2325
10,-2183
11,-2406
12,-2892
13,-2683
14,-2312
15,-2386
16,-2646
17,-2647
18,-2479
19,-2128
20,-2369
21,-2301
22,-2470
23,-2206
24,-2691
25,-2312
26,-2462
27,-2332
28,-2966
29,-3077
30,-2636
31,-2723
32,-2196
33,-2245
34,-2481
35,-2069
36,-2164
37,-2718
38,-2677
39,-2518
40,-2594
41,-2772
42,-2192
43,-2621
44,-2418
45,-2605
46,-2522
47,-2269
48,-2467
49,-2561
50,-2430
51,-2911
52,-2007
53,-2714
54,-2659
55,-2283
56,-2301
57,-3163
58,-2494
59,-2389
60,-3187
61,-2427
62,-2056
63,-2177
64,-2052
65,-2351
66,-2130
67,-1988
68,-2062
69,-2505
70,-1936
71,-2228
72,-2316
73,-2494
74,-2174
75,-2207
76,-2091
77,-2328
78,-2491
79,-2621
80,-2825
81,-2162
82,-2299
83,-2335
84,-2581
85,-2210
86,-2181
87,-2309
88,-2007
89,-1997
90,-1997
91,-2188
92,-2038
93,-2418
94,-2146
95,-2115
96,-2352
97,-2165
98,-2141
99,-1894
100,-2304
101,-2141
102,-2245
103,-2179
104,-1833
105,-1952
106,-2856
107,-2107
108,-2052
109,-2018
110,-1899
111,-2312
112,-2085
113,-2378
114,-2273
115,-2064
116,-2104
117,-2080
118,-2154
119,-1821
120,-1961
121,-1971
122,-2048
123,-2032
124,-1670
125,-1652
126,-5009
127,-2107
128,-2280
129,-1815
130,-1634
131,-1742
132,-2086
133,-2028
134,-1943
135,-2308
136,-2167
137,-1992
138,-2161
139,-2195
140,-2321
141,-2106
142,-2106
143,-1978
144,-1749
145,-1881
146,-1753
147,-1917
148,-1854
149,-1835
150,-2183
151,-1762
152,-2298
153,-1862
154,-2406
155,-1933
156,-2106
157,-1970
158,-1971
159,-2109
160,-2132
161,-1740
162,-1811
163,-1821
164,-2112
165,-1889
166,-1889
167,-1758
168,-2088
169,-2020
170,-1973
171,-1924
172,-1656
173,-1962
174,-2244
175,-2007
176,-2109
177,-1890
178,-2361
179,-2124
180,-1556
181,-1988
182,-1780
183,-2061
184,-2187
185,-2198
186,-2044
187,-1993
188,-2046
189,-2077
190,-1981
191,-2144
192,-1761
193,-1719
194,-1639
195,-2239
196,-2000
197,-1870
198,-1705
199,-1980
200,-1859
201,-2191
202,-2052
203,-1740
204,-1732
205,-1804
206,-2050
207,-2034
208,-1901
209,-1981
210,-1871
211,-1988
212,-1900
213,-1858
214,-1928
215,-1893
216,-1897
217,-1801
218,-1908
219,-1679
220,-2737
221,-2081
222,-1911
223,-1769
224,-1877
225,-2044
226,-2035
227,-1735
228,-1822
229,-1688
230,-1920
231,-1638
232,-1851
233,-1816
234,-1836
235,-1910
236,-1639
237,-1919
238,-1895
239,-1594
240,-2101
241,-1702
242,-1787
243,-1525
244,-1796
245,-1976
246,-1668
247,-2056
248,-1692
249,-1866
250,-1705
251,-1884
252,-1764
253,-1801
254,-1672
255,-1865
256,-2212
257,-1963
258,-1658
259,-2029
260,-1817
261,-1698
262,-1551
263,-1810
264,-1961
265,-1695
266,-1748
267,-1737
268,-1766
269,-1796
270,-1755
271,-1625
272,-1746
273,-1740
274,-1817
275,-1630
276,-1874
277,-1724
278,-1844
279,-1897
280,-1928
281,-1860
282,-1670
283,-1542
284,-1897
285,-1434
286,-1851
287,-1603
288,-1870
289,-1746
290,-2002
291,-1719
292,-1798
293,-1710
294,-1748
295,-1491
296,-1520
297,-1837
298,-1632
299,-1650
300,-1802
301,-1933
302,-1861
303,-1793
304,-1589
305,-1953
306,-1742
307,-1687
308,-1670
309,-2025
310,-1652
311,-1651
312,-2021
313,-1819
314,-1684
315,-1938
316,-1433
317,-1618
318,-1676
319,-1615
320,-1691
321,-1711
322,-1805
323,-1894
324,-1467
325,-1672
326,-1682
327,-1911
328,-1681
329,-1621
330,-1737
331,-1558
332,-1646
333,-1712
334,-1649
335,-1675
336,-1714
337,-1926
338,-1708
339,-1532
340,-1609
