,reward
532,-3425
533,-3244
534,-3398
535,-3236
536,-2929
537,-2540
538,-3217
539,-3236
540,-3487
541,-3164
542,-2909
543,-3037
544,-2902
545,-3101
546,-3883
547,-2845
548,-2798
549,-3545
550,-2940
551,-3416
552,-3733
553,-2829
554,-3379
555,-2545
556,-2939
557,-3327
558,-3228
559,-3082
560,-3148
561,-2760
562,-2596
563,-3556
564,-3411
565,-3344
566,-3029
567,-3130
568,-3182
569,-3199
570,-3014
571,-2823
572,-3021
573,-2762
574,-3254
575,-3429
576,-2547
577,-2853
578,-3103
579,-3180
580,-2432
581,-3739
582,-2756
583,-3125
584,-3650
585,-3015
586,-3010
587,-3066
588,-3514
589,-3308
590,-3061
591,-2690
592,-3271
593,-3293
594,-2889
595,-2926
596,-3161
597,-2471
598,-2773
599,-2826
600,-3351
601,-3420
602,-2672
603,-3156
604,-3008
605,-3028
606,-3082
607,-2968
608,-3686
609,-3324
610,-3014
611,-3634
612,-2786
613,-3026
614,-2821
615,-2908
616,-2963
617,-2575
618,-2330
619,-2925
620,-2864
621,-2876
622,-2946
623,-2794
624,-2706
625,-3456
626,-3126
627,-3021
628,-2669
629,-3091
630,-2970
631,-2406
632,-3064
633,-2921
634,-3514
635,-2772
636,-3642
637,-2620
638,-2809
639,-2883
640,-2378
641,-2602
642,-2895
643,-2658
644,-2660
645,-3286
646,-2837
647,-2758
648,-3049
649,-3291
650,-3499
651,-2737
652,-3302
653,-3078
654,-2601
655,-2740
656,-3093
657,-3216
658,-2516
659,-3048
660,-2926
661,-3098
662,-3328
663,-2845
664,-3071
665,-4165
666,-3111
667,-3196
668,-2440
669,-4053
670,-3055
671,-3030
672,-2737
673,-3310
674,-2892
675,-3507
676,-2814
677,-3165
678,-2614
679,-3120
680,-2777
681,-2543
682,-2666
683,-2450
684,-3048
685,-2792
686,-2649
687,-3288
688,-3294
689,-3131
690,-3134
691,-2767
692,-2864
693,-2790
694,-2513
695,-2716
696,-3227
697,-3917
698,-2735
699,-2710
700,-3204
701,-2460
702,-2644
703,-2982
704,-2742
705,-2716
706,-2948
707,-2655
708,-2977
709,-3083
710,-3763
711,-2728
712,-3777
713,-3329
714,-2702
715,-3146
716,-3734
717,-5648
718,-2742
719,-2675
720,-2677
721,-3393
722,-4381
723,-2731
724,-3388
725,-2986
726,-2759
727,-2770
728,-3264
729,-2462
730,-2475
731,-2543
732,-2509
733,-2803
734,-3873
735,-2682
736,-3167
737,-2177
738,-3310
739,-2679
740,-2980
741,-2772
742,-2975
743,-2527
744,-2697
745,-2791
746,-3335
747,-3087
748,-2626
749,-2844
750,-2593
751,-2975
752,-2962
753,-3131
754,-2878
755,-3051
756,-3256
757,-2706
758,-2499
759,-3021
760,-2665
761,-3037
762,-2703
763,-2881
764,-2943
765,-3232
766,-3301
767,-3080
768,-3430
769,-3061
770,-3299
771,-3293
772,-3593
773,-2496
774,-3454
775,-3130
776,-2797
777,-2779
778,-3396
779,-2613
780,-2827
781,-2983
782,-2988
783,-2995
784,-2794
785,-2909
786,-2675
787,-3541
788,-2968
789,-3557
790,-2534
791,-2933
792,-2434
793,-3076
794,-3009
795,-2496
796,-3203
797,-3668
798,-3262
799,-3668
800,-2592
801,-2789
802,-2852
803,-2655
804,-2715
805,-2889
806,-2408
807,-2620
808,-2553
809,-2714
810,-2835
811,-2662
812,-3628
813,-2734
814,-2630
815,-2573
816,-3773
817,-2684
818,-3104
819,-2505
820,-2180
821,-3618
822,-2444
823,-2804
824,-2630
825,-2811
826,-3025
827,-3120
828,-2169
829,-2614
830,-3005
831,-3099
832,-2621
833,-3111
834,-2307
835,-2868
836,-2684
837,-2977
838,-2973
839,-2893
840,-2632
841,-2755
842,-2897
843,-3191
844,-2979
845,-2418
846,-2761
847,-2816
848,-2390
849,-3527
850,-2686
851,-3029
852,-3072
853,-2622
854,-2844
855,-2669
856,-3469
857,-2950
858,-2516
859,-3588
860,-2873
861,-2822
862,-3050
863,-2966
864,-2611
865,-2812
866,-2623
867,-2381
868,-2539
869,-3102
870,-2716
871,-2631
872,-3502
873,-2547
874,-3181
875,-3002
876,-2533
877,-2770
878,-2871
879,-3237
880,-2638
881,-2593
882,-2468
883,-2912
884,-2851
885,-2619
886,-2737
887,-2339
888,-3139
889,-2946
890,-2324
891,-4796
892,-2255
893,-3212
894,-2287
895,-3700
896,-2970
897,-2699
898,-2656
899,-2721
900,-3225
901,-3439
902,-2937
903,-3702
904,-2172
905,-3615
906,-3209
907,-2619
908,-2898
909,-3037
910,-2709
911,-2862
912,-2863
913,-3160
914,-2898
915,-2637
916,-2959
917,-2863
918,-3338
919,-3422
920,-2758
921,-2639
922,-4423
923,-3119
924,-2570
925,-3394
926,-2788
927,-2879
928,-3050
929,-2784
930,-2878
931,-2504
932,-3127
933,-2544
934,-3507
935,-3001
936,-2735
