,reward
532,-2975
533,-4912
534,-2184
535,-2328
536,-2695
537,-2738
538,-2833
539,-2589
540,-2654
541,-2940
542,-2223
543,-2775
544,-2785
545,-2417
546,-3500
547,-2847
548,-2144
549,-2776
550,-3257
551,-2996
552,-2755
553,-2028
554,-2628
555,-2470
556,-3318
557,-2535
558,-2995
559,-2534
560,-2576
561,-2533
562,-2956
563,-2551
564,-2372
565,-2712
566,-2696
567,-2468
568,-2902
569,-2793
570,-2252
571,-2815
572,-2554
573,-2922
574,-2450
575,-2557
576,-2558
577,-2741
578,-2650
579,-2252
580,-3081
581,-2521
582,-3159
583,-2695
584,-3750
585,-2408
586,-2903
587,-2279
588,-2763
589,-3364
590,-2593
591,-2531
592,-2220
593,-2613
594,-3071
595,-2553
596,-2668
597,-2634
598,-2439
599,-2594
600,-2663
601,-2555
602,-2379
603,-2738
604,-2560
605,-3354
606,-2397
607,-2426
608,-2966
609,-2516
610,-5150
611,-3216
612,-2631
613,-3028
614,-2770
615,-3727
616,-2383
617,-2181
618,-2297
619,-3022
620,-2336
621,-2951
622,-2964
623,-4053
624,-2505
625,-2810
626,-2964
627,-2160
628,-2918
629,-2244
630,-3351
631,-2712
632,-2360
633,-2682
634,-2669
635,-2718
636,-2701
637,-2249
638,-2273
639,-2250
640,-2786
641,-2699
642,-2446
643,-2043
644,-2487
645,-2639
646,-2968
647,-2686
648,-2577
649,-2698
650,-2395
651,-2308
652,-2689
653,-2637
654,-2952
655,-2332
656,-2598
657,-2274
658,-2485
659,-3236
660,-2776
661,-2669
662,-2261
663,-2486
664,-2296
665,-2116
666,-2876
667,-2612
668,-2718
669,-2537
670,-3731
671,-2352
672,-3638
673,-3028
674,-2683
675,-2860
676,-3034
677,-3057
678,-3335
679,-5637
680,-2539
681,-3112
682,-2748
683,-2669
684,-3163
685,-3162
686,-2775
687,-2379
688,-2107
689,-3093
690,-2522
691,-2774
692,-2110
693,-2242
694,-2804
695,-2613
696,-2177
697,-2432
698,-2640
699,-2691
700,-3871
701,-2460
702,-2407
703,-2559
704,-3927
705,-2883
706,-3031
707,-2125
708,-3519
709,-3665
710,-2847
711,-2603
712,-2898
713,-2811
714,-2550
715,-3110
716,-1978
717,-2480
718,-2912
719,-2365
720,-2559
721,-2585
722,-2604
723,-2214
724,-3373
725,-2647
726,-2499
727,-2488
728,-3423
729,-2576
730,-3165
731,-2953
732,-2600
733,-2304
734,-2768
735,-2726
736,-3052
737,-2649
738,-2503
739,-2768
740,-2402
741,-3567
742,-2819
743,-2334
744,-2544
745,-2620
746,-3264
747,-3004
748,-2431
749,-2439
750,-2450
751,-2642
752,-2441
753,-2576
754,-2695
755,-3155
756,-2167
757,-2565
758,-2527
759,-3010
760,-5255
761,-2388
762,-2919
763,-2380
764,-2357
765,-2560
766,-4860
767,-3063
768,-3118
769,-2371
770,-2538
771,-2740
772,-3472
773,-3559
774,-3149
775,-2134
776,-3222
777,-2615
778,-2929
779,-2001
780,-3001
781,-2651
782,-2384
783,-2811
784,-2210
785,-3334
786,-2347
787,-2698
788,-3373
789,-3264
790,-2644
791,-2558
792,-2263
793,-3048
794,-2399
795,-2700
796,-2617
797,-2740
798,-2813
799,-2609
800,-2750
801,-2758
802,-2558
803,-2786
804,-2275
805,-4702
806,-2270
807,-2265
808,-2599
809,-2790
810,-3106
811,-2269
812,-3330
813,-2805
814,-2560
815,-2196
816,-2349
817,-2068
818,-2768
819,-3075
820,-2486
821,-2347
822,-2069
823,-2398
824,-3241
825,-2745
826,-2400
827,-2441
828,-2360
829,-2111
830,-2865
831,-2437
832,-2568
833,-2550
834,-2445
835,-2263
836,-2543
837,-2665
838,-3043
839,-2742
840,-2862
841,-2164
842,-2896
843,-2231
844,-3664
845,-2866
846,-2494
847,-2413
848,-2928
849,-3488
850,-3199
851,-2716
852,-2709
853,-2608
854,-4100
855,-4714
856,-3010
857,-2873
858,-2210
859,-2327
860,-3001
861,-2361
862,-2561
863,-2012
864,-2574
865,-2891
866,-2520
867,-2007
868,-3153
869,-2689
870,-2461
871,-2580
872,-2933
873,-2729
874,-3640
875,-2615
876,-3155
877,-2411
878,-2316
879,-2042
880,-1991
881,-3712
882,-2641
883,-2755
884,-2240
885,-2160
886,-2836
887,-2309
888,-2443
889,-2852
890,-2948
891,-2739
892,-2171
893,-2168
894,-2444
895,-3005
896,-2459
897,-2292
898,-3561
899,-2083
900,-2195
901,-2527
902,-2489
903,-3213
904,-2239
905,-2228
906,-2503
907,-2554
908,-2180
909,-2101
910,-3106
911,-2469
912,-2854
913,-2837
914,-2740
915,-2933
916,-2572
917,-2375
918,-2200
919,-2151
920,-2684
921,-2091
922,-2312
923,-3804
924,-2370
925,-2040
926,-2103
927,-2737
928,-2548
929,-2345
930,-2406
931,-2399
932,-2340
933,-2220
934,-3208
935,-3543
936,-3025
937,-2463
938,-2844
939,-2473
940,-2377
941,-2168
942,-2519
943,-3709
944,-2734
945,-2160
946,-2315
947,-3776
948,-2863
949,-2413
950,-3175
951,-2665
952,-2507
953,-2255
954,-2890
955,-2625
956,-3650
957,-2639
958,-2218
959,-2523
960,-2130
961,-2198
962,-2577
963,-2294
964,-2317
965,-2077
966,-3143
967,-2712
968,-2447
969,-2191
970,-2404
971,-3233
972,-2406
973,-2081
974,-2634
975,-2553
976,-2910
977,-3409
978,-2381
979,-2098
980,-2814
981,-2088
982,-1970
983,-2746
984,-2277
985,-2994
986,-2783
987,-2576
988,-2325
989,-2111
990,-2605
991,-2327
992,-2665
993,-2310
994,-5081
995,-2513
996,-2259
997,-2652
998,-2399
999,-2241
1000,-3547
1001,-2578
1002,-2930
1003,-2085
1004,-2558
1005,-2257
1006,-2459
1007,-2695
1008,-2424
1009,-2731
1010,-2191
1011,-2546
1012,-2325
1013,-2402
1014,-2439
1015,-2655
1016,-2333
1017,-2519
1018,-2492
1019,-2429
1020,-3201
1021,-3249
1022,-2282
1023,-2502
1024,-2803
1025,-2554
1026,-2547
1027,-2242
1028,-2097
1029,-2341
1030,-2254
1031,-2558
1032,-2580
1033,-2756
1034,-2295
1035,-3091
1036,-2278
1037,-2268
1038,-2871
1039,-2857
1040,-2625
1041,-2566
1042,-2444
1043,-2883
1044,-3144
1045,-3230
1046,-2197
1047,-2349
1048,-2554
1049,-2929
1050,-2496
1051,-3159
1052,-2382
1053,-2949
1054,-2767
1055,-1971
1056,-2711
1057,-2167
1058,-2381
1059,-2467
1060,-2632
1061,-2194
1062,-2461
1063,-2368
1064,-2715
1065,-2022
1066,-2289
1067,-2348
1068,-2414
1069,-2275
1070,-2296
1071,-2364
1072,-2760
1073,-2482
1074,-2223
1075,-2122
1076,-2818
1077,-2360
1078,-2465
1079,-3181
1080,-2778
1081,-2507
1082,-3045
1083,-2329
1084,-2327
1085,-2210
1086,-2305
1087,-2689
1088,-3074
1089,-2270
1090,-2548
1091,-2499
1092,-2419
1093,-2297
1094,-2803
1095,-2768
1096,-2563
1097,-2699
1098,-3564
1099,-2711
1100,-2413
1101,-2175
1102,-2274
1103,-2484
1104,-2627
1105,-5762
1106,-2027
1107,-2503
1108,-2410
1109,-2147
1110,-2460
1111,-2607
1112,-2342
1113,-2944
1114,-3207
1115,-2845
1116,-2027
1117,-2295
1118,-2989
1119,-2197
1120,-2236
1121,-4362
1122,-2590
1123,-2997
1124,-1873
1125,-2060
1126,-2426
1127,-2340
1128,-2296
1129,-2129
1130,-2245
1131,-2167
1132,-2694
1133,-2583
1134,-3165
1135,-2306
1136,-2627
1137,-2298
1138,-1982
1139,-2047
1140,-2794
1141,-2286
1142,-2200
1143,-2465
1144,-2751
1145,-2373
1146,-4286
1147,-2414
1148,-2622
1149,-2630
1150,-2234
1151,-2204
1152,-2233
1153,-3200
1154,-2139
1155,-2695
1156,-2289
1157,-2927
1158,-2466
1159,-2287
1160,-2259
1161,-2405
1162,-2290
1163,-5939
1164,-2943
1165,-3369
1166,-2561
1167,-3059
1168,-2072
1169,-2287
1170,-3426
1171,-2882
1172,-2926
1173,-2149
1174,-2235
1175,-2089
1176,-2080
1177,-2576
1178,-2548
1179,-2514
1180,-3383
1181,-3117
1182,-2628
1183,-2796
1184,-2435
1185,-2239
1186,-2458
1187,-3111
1188,-2412
1189,-2393
1190,-2485
1191,-2211
1192,-3225
1193,-2768
1194,-2449
1195,-2592
1196,-2584
1197,-2167
1198,-2765
1199,-2564
1200,-3834
1201,-2883
1202,-2261
1203,-2301
1204,-4006
1205,-1805
1206,-2196
1207,-2066
1208,-2671
1209,-2645
1210,-2214
1211,-2312
1212,-2172
1213,-2071
1214,-2781
1215,-2854
1216,-3429
1217,-2486
1218,-2033
1219,-3359
1220,-2755
1221,-2050
1222,-2536
1223,-2401
1224,-2653
1225,-2617
1226,-2425
1227,-2177
1228,-2502
1229,-3207
1230,-3065
1231,-2126
1232,-2349
1233,-2116
1234,-2079
1235,-2261
1236,-2267
1237,-3154
1238,-2090
1239,-2815
1240,-2572
1241,-2617
1242,-2126
1243,-2142
1244,-3404
1245,-2528
1246,-2079
1247,-2017
1248,-3055
1249,-3126
1250,-2755
1251,-2514
1252,-2392
1253,-2745
1254,-2669
1255,-2889
1256,-2040
1257,-2479
1258,-2377
1259,-2828
1260,-2609
1261,-2456
1262,-2597
1263,-2921
1264,-2471
1265,-7185
1266,-2189
1267,-4188
1268,-2635
1269,-2273
1270,-2152
1271,-2150
1272,-3342
1273,-2072
1274,-1999
1275,-2521
1276,-2717
1277,-3010
1278,-2624
1279,-2007
1280,-2095
1281,-2364
1282,-2486
1283,-2546
1284,-2345
1285,-2980
1286,-2601
1287,-2877
1288,-2074
1289,-2235
1290,-2229
1291,-2378
1292,-2350
1293,-2579
1294,-3125
1295,-2759
1296,-2889
1297,-3343
1298,-4008
1299,-2790
1300,-4283
1301,-2354
1302,-3054
1303,-1971
1304,-2614
1305,-3324
1306,-2283
1307,-2009
1308,-2515
1309,-2130
1310,-2207
1311,-2847
1312,-2369
1313,-3627
1314,-1952
1315,-1848
1316,-2258
1317,-2051
1318,-2373
1319,-2615
1320,-3034
1321,-5468
1322,-3132
1323,-3037
1324,-2069
1325,-2033
1326,-2732
1327,-2157
1328,-2482
1329,-5411
1330,-2160
1331,-2524
1332,-3773
1333,-2194
1334,-2172
1335,-2466
1336,-3828
1337,-2239
1338,-3388
1339,-3135
1340,-2924
1341,-2438
1342,-1956
